utterance_id	speaker_id	target_id	reply_to_id	utterance
93	P00290	P00581	86	Estou a terminar, Sr.ª Presidente. Como estava a referir, o que é que o Sr. Deputado tem a dizer sobre o facto de este Governo, desde 2011, não ter apresentado aos portugueses a Conta Satélite do Turismo, que é uma conta exigida pela Organização Mundial de Turismo? Trata-se de uma conta importantíssima para que os empresários e os portugueses possam fazer opções concretas na área do turismo. Deixe-nos uma palavra sobre a Conta Satélite do Turismo.
94	P00001	P00002		A próxima pergunta é do PCP. Tem a palavra o Sr. Deputado João Ramos.
95	P00582	P00581	86	Sr.ª Presidente, Sr. Deputado Luís Vales, o Sr. Deputado traz-nos aqui uma espécie de novidade, ao ocupar o espaço do CDS nas questões sobre turismo. Habitualmente, no debate parlamentar, é o CDS que puxa pelo seu Ministro e pelo seu Secretário de Estado, agora, temos o PSD a entrar também nesta matéria.
96	P00581	P00582	95	O Governo é só um!
97	P00582	P00581	96	Mas isso é irrelevante. O que gostava de lhe dizer é que o Sr. Deputado fala no sucesso do turismo, e o CDS também fala nesse sucesso, baseado nos dados do INE. E a estatística do turismo para 2013 fala num aumento das receitas, num aumento das dormidas, num aumento dos proveitos. Os proveitos no setor do turismo aumentaram, em 2013, 1900 milhões de euros, ou seja, 7,7%. Mas as estatísticas também dizem outras coisas, que, normalmente, os senhores não referem, como, por exemplo, a de que o número de establishments, em 2013, diminuiu e o número de camas teve um ligeiro aumento, ou seja, há um processo de concentração no setor. E também nos dizem que o número de dormidas de não residentes aumentou, mas o número de dormidas de residentes teve um decréscimo, pelo que os portugueses estão a fazer menos turismo em Portugal. Portanto, há aqui outros dados de que os senhores não falam. Por outro lado, falam no sucesso, como se fosse um sucesso para todos, esquecendo, por exemplo, um setor importante, que é o setor da restauração, e o IVA da restauração, que não é, de modo nenhum, encaixado neste sucesso. Aliás, o Governo continua sem publicar as estatísticas do IVA para poder demonstrar aquilo que diz, ou seja, que o aumento do IVA no setor da restauração contribuiu efetivamente para um aumento da receita de IVA. O Governo diz, mas não consegue demonstrar, porque não publica as estatísticas do IVA. Mas, depois, há outra forma de analisar os números e não precisamos de ir buscar as estatísticas. Também podemos ir aos números e às estatísticas do Ministério da Economia e do Governo. Dou-lhe o exemplo do Gabinete de Estratégia e Estudos do Ministério da Economia, neste setor que os senhores dizem ser um sucesso, que é o melhor setor exportador. Efetivamente, as estatísticas dizem que é o maior setor exportador, mas, por exemplo, o ganho médio mensal dos trabalhadores no setor do alojamento, restauração e similares caiu, nos últimos três anos, 7,5%. O ganho médio dos trabalhadores deste setor caiu 7,5% nos últimos três anos. Por exemplo, o setor do turismo é o que pratica os salários mais baixos de toda a economia portuguesa, à exceção dos setores dos têxteis e do vestuário. Isto também é dito pelo Ministério da Economia.
98	P00580	P00582	97	Bem lembrado!
99	P00322	P00582	97	Veja lá o sucesso!»
100	P00582	P00581	96	Ou, por exemplo, que, no setor do turismo, 21% dos trabalhadores recebem o salário mínimo nacional, enquanto a média nacional é de apenas 2%. Isto também é dito pelo Ministério da Economia. É fácil perceber que uma parte deste sucesso de que os senhores falam é à custa da sobreexploração dos trabalhadores.
101	P00322	P00582	100	Exatamente!
102	P00582	P00581	96	Por isso, Sr. Deputado, era importante que nos dissesse, e daí que lhe pergunte, o que é que o PSD acha, por exemplo, dos estágios curriculares no turismo, que estão a substituir postos de trabalho, ou o que é que o PSD acha sobre os problemas que os trabalhadores têm, e que o Ministério da Economia reconhece, num setor que teve 1900 milhões de euros de proveitos, o maior setor exportador. Por que é que este sucesso não tem reflexos no salário e na qualidade dos postos de trabalho destes trabalhadores?! Entretanto, assumiu a presidência a Vice-Presidente Teresa Caeiro.
103	P00001	P00002		Ainda para pedir esclarecimentos, tem a palavra o Sr. Deputado Hélder Amaral.
104	P00302	P00581	96	Sr.ª Presidente, Sr. Deputado Luís Vales, queria felicitá-lo pela iniciativa da sua declaração política. Não sei se percebi bem, mas fiquei com a expectativa de que algo de novo, nunca visto, vai acontecer: o Partido Comunista Português prepara-se para, mais dia, menos dia, fazer uma declaração política sobre turismo, não querendo que essa matéria seja só discutida pelos partidos da maioria. É bem-vindo, Sr. Deputado João Ramos, quando quiser. Poderemos até dar uma ajuda, porque ainda há alguns dados estatísticos. Ficava-lhe bem, porque retirava a ideia, que parece ser uma certeza, de que a oposição, qualquer que seja o resultado positivo, em qualquer setor da economia ou da vida portuguesa, foge dele como o diabo da cruz,»
105	P00582	P00302	104	Salários!
106	P00302	P00581	96	» parecendo que só quer olhar para o lado negro da História.
107	P00262	P00302	106	É verdade!
108	P00302	P00581	96	Se há setor em que, de facto, se devem dar os parabéns aos empresários e aos trabalhadores, aos portugueses que nele trabalham, é o do turismo. Mas também quero referir — e vou fazê-lo com todo o cuidado pela amizade que me une quer ao anterior Secretário de Estado, quer ao atual — que se há matéria em que podíamos fazer um exercício de «descubra as diferenças» entre a governação da maioria e a do Partido Socialista, é exatamente a do turismo. É que, enquanto o Governo, fazendo pouco, na opinião do Sr. Deputado Acácio Pinto, reviu a lei das agências de viagens, simplificando e retirando burocracia, reviu a lei das entidades regionais de turismo, simplificando, dando autonomia e mais poderes, e eliminou um conjunto de licenciamentos, o que é que fez o
109	P00262	P00302	108	Ora!
110	P00302	P00581	96	Entre um Estado que absorve todo o esforço dos portugueses e um Governo que quer simplificar a vida dos empresários e dos trabalhadores, aqui está a diferença que nos separa. O Partido Socialista está igual a si próprio: mal descobre um setor a crescer, um setor a ter resultados, o que é que faz? Apropria-se desses resultados e procura ir aí buscar rendimento para a sua política.
111	P00262	P00302	110	É verdade!
112	P00351	P00302	110	Foi por isso que, no Amadeus, o elegeram «Gestor Põblico do Ano»!»
113	P00302	P00581	96	O que é que faz a maioria? Protege esses resultados, simplifica, retira obstáculos e é um parceiro fiável do setor. É por isso que acho que tem alguma razão quando diz que nada está feito, mas temos estes dados: 14% do PIB; Portugal está no top 3 dos países onde o turismo mais cresce; em novembro de 2014, tivemos 2,4 milhões de turistas, batemos records. Diria que os problemas que o Deputado do Partido Comunista Português aqui trouxe, com alguma razão, e que V. Ex.ª também aqui trouxe, resolvem-se com três coisas: mais turistas, mais turistas, mais turistas. E é isso que está a acontecer: estamos a ter mais turistas, mais turistas, mais turistas.
114	P00001	P00302	113	Sr. Deputado, queira concluir, por favor.
115	P00302	P00581	96	Vou terminar, Sr.ª Presidente. Têm alguma razão quando dizem que temos de olhar para o turismo interno. É um facto! Estes dados devem ser uma boa base de partida. Agora, temos de olhar para o território, temos de olhar para a criação de produtos, temos de consolidar destinos, temos de requalificar a oferta. Este é um passo que devemos dar, mas até nesta matéria — e sei que o Sr. Deputado Luís Vales me vai responder — estamos a fazer muita coisa, coisa que nunca foi feita. Isto para além do reforço do financiamento das entidades e das agências regionais de turismo, que representa um record em relação aos Governos do Partido Socialista, que cortaram verbas e retiraram autonomias ao território, às autarquias e às entidades regionais de turismo. Até nesta matéria, Sr. Deputado Luís Vales, diga se é ou não verdade que fizemos muito mais do que foi feito por algum Governo do Partido Socialista.
116	P00001	P00002		Para responder, tem a palavra o Sr. Deputado Luís Vales.
117	P00581	P00290	93	Sr.ª Presidente, Srs. Deputados, antes de mais, agradeço as perguntas dos Srs. Deputados Acácio Pinto, João Ramos e Hélder Amaral. Fico preocupado com algumas das questões que me foram colocadas, nomeadamente da parte das bancadas do PS e do PCP. É que, mais uma vez, Srs. Deputados, até neste setor, que, enfim — acho que disse tudo na tribuna — , significou 14% do PIB, teve números extraordinários, e não foi à custa dos partidos políticos,» » mas dos portugueses, dos operadores, dos municípios, das entidades regionais»
118	P00322	P00581	117	Dos salários dos trabalhadores!
119	P00581	P00290	93	» e tambçm do Governo e do Turismo de Portugal.
120	P00327	P00581	119	É verdade!
121	P00581	P00290	93	Apesar de tudo isto, e com este sucesso, continuam zangados, incomodados com os números positivos, até nesta área do turismo! Srs. Deputados, penso que essa matéria não colhe do ponto de vista eleitoral, porque os portugueses também gostam de ter um sorriso na cara de vez em quando. E o turismo é um motivo para sorrir neste País. Relativamente à questão do IVA da restauração e das suas dificuldades, de que falámos, respondo-lhe que houve, naturalmente, e há, empresas em dificuldades, mas quero aqui relembrar a recente diminuição do IRC e as alterações feitas ao IRS. Por conseguinte, a seu tempo, depois da bancarrota a que nos trouxe o Partido Socialista, é natural que haja aqui um período de ajustamento. Tenho esperança que o IVA da restauração veja a sua carga diminuída, quando assim for possível. Srs. Deputados, também fiquei um pouco estupefacto com algumas declarações que foram feitas relativas ao turismo interno. Gostava de dizer o seguinte: em 2014, todas as regiões do País viram o seu turismo aumentar exponencialmente. Ninguém diz que não existem dificuldades no setor, claro que sim, em todos os setores há dificuldades; há empresas que singram e outras que se dão menos bem, dependendo, naturalmente, do seu plano de negócios. Mas há uma coisa que é inequívoca, Srs. Deputados: o turismo subiu em todas as regiões do País. A este propósito, quero responder ao Sr. Deputado Hélder Amaral, que referiu as entidades regionais de turismo, dizendo-lhe que creio ser também isto que nos distingue. Antigamente, nos governos socialistas, fazia-se tudo a partir de Lisboa — de Lisboa para o Porto, de Lisboa para o Alentejo, de Lisboa para o Algarve — , hoje, faz-se diferente; hoje, as entidades regionais de turismo têm a sua importância e, de uma forma cooperativa e até mais inteligente, elas sabem o que a região pode oferecer enquanto destino turístico. Por isso, queria aqui também deixar um bem-haja às entidades regionais de turismo e a essa forma que mudou, de facto, a maneira de fazer política no turismo, em Portugal.
122	P00001	P00002		Para proferir uma declaração política, tem a palavra a Sr.a Deputada Sónia Fertuzinhos.
123	P00329	P00002		Sr.ª Presidente, Sr.as e Srs. Deputados: «Só vamos sair desta situação, empobrecendo em termos relativos e em termos absolutos» — disse o Primeiro-Ministro Pedro Passos Coelho no dia 25 de outubro de 2011. Na altura, não se percebeu se esta declaração do Primeiro-Ministro era uma promessa ou uma ameaça. Seja como for, por uma vez o Primeiro-Ministro cumpriu o que prometeu! Portugal está mais pobre. As pessoas e as famílias, em geral, estão mais pobres e os que já eram pobres estão, hoje, ainda mais pobres. Traduzindo os números da pobreza em portuguesas e portugueses: entre 2012 e 2013, em apenas um ano, mais 110 000 portugueses e portuguesas caíram no risco da pobreza; entre 2011 e 2013, em apenas dois anos, mais 450 000 pessoas caíram na situation de pobreza. Para percebermos melhor a realidade dramática destes números e da vida destas pessoas, temos de lembrar que estes portugueses e estas portuguesas caíram no risco de pobreza por viverem com menos de 433 € por mês, 12 meses num ano, o valor que, em 2009, definia o limiar da pobreza. Sr.ª Presidente, Sr.as e Srs. Deputados: Estes números, que traduzem a vida, o dia a dia de 2,7 milhões de portugueses e portuguesas — repito, Sr.as e Srs. Deputados, 2,7 milhões de portugueses e portuguesas — , não são fruto do acaso nem o efeito inesperado de uma qualquer política que correu menos bem. Não, Sr.as e
124	P00006	P00329	123	Muito bem!
125	P00329	P00002		E é também por isso que o País exige uma nova política e um novo caminho, onde rigor não seja confundido com austeridade dura e cega; onde a emigração em massa não seja uma solução, mas um problema; onde Portugal não tenha como ambição única ser um bom aluno no teste europeu de austeridade e saiba defender os interesses dos portugueses e de Portugal; um caminho que recuse a estagnação e o recuo social; um caminho que una os portugueses e não faça da confrontação o alibi para as dificuldades — o caminho que já tarda, mas que tem de estar nosso alcance!
126	P00001	P00329	125	A Mesa registou a inscrição de quatro Deputados para pedirem esclarecimentos à Sr.ª Deputada Sónia Fertuzinhos. Como pretende responder, Sr.ª Deputada?.
127	P00329	P00001	126	Responderei um a um, Sr.ª Presidente.
128	P00001	P00002		Muito bem, Sr.a Deputada. Vou dar a palavra ao primeiro orador inscrito, o Sr. Deputado Adão Silva, para formular o seu pedido de esclarecimentos. Tem a palavra, Sr. Deputado.
129	P00326	P00329	127	Sr.ª Presidente, Sr.a Deputada Sónia Fertuzinhos, governar é, essencialmente, governar para quem é mais carenciado. E governar é, sobretudo, governar para debelar, senão mesmo ultrapassar, por completo, as diferenças ou as desigualdades na distribuição do rendimento. Sr.a Deputada, governar é tomar medidas. V. Ex.ª, na sua intervenção de cerca de 8 minutos, escalpelizou um problema instante, que, não negamos, é um problema delicado. Mas, Sr.a Deputada, também seria interessante que nos apontasse algumas das soluções! Importa-se de nos apontar algumas das soluções?
130	P00327	P00326	129	Muito bem!
131	P00326	P00329	127	É que 8 minutos a escalpelizar um problema, a detalhar a estatística — difícil, aliás, de a seguir — , talvez fosse compensado se V. Ex.ª tivesse a generosidade, a bondade de nos apresentar algumas soluções, porque estamos a menos de meio ano de começarem a apresentar soluções governativas e V. Ex.ª não pode apenas ficar na análise detalhada, pormenorizada, dos números, tem de avançar também para as propostas de solução dos problemas.
132	P00327	P00326	131	É verdade!
133	P00326	P00329	127	Portanto, V. Ex.ª não as apresentou, o que é obviamente lamentável. Sr.a Deputada, V. Ex.ª referiu várias vezes «as opções políticas deste Governo»» Sr.a Deputada, as opções políticas deste Governo foram muito limitadas, porque o Programa de Assistência, que VV. Ex.as
134	P00327	P00326	133	Muito bem!
135	P00326	P00329	127	Sr.a Deputada, claro que VV. Ex.as estão presos a uma espécie de um labirinto ou a uma espécie de síndroma de prisão de labirinto. VV. Ex.as levaram o País à desgraça e o País está a reerguer-se. Os dados da economia estão a melhorar, os dados do emprego estão a melhorar,»
136	P00351	P00326	135	Está-se a ver!»
137	P00326	P00329	127	» os dados do desemprego estão a melhorar, os dados das exportações estão a melhorar! Mas, VV. Ex.as dizem que não, que é preciso negar isto, numa espécie de síndroma de quem ficou preso no vosso próprio labirinto, que foi o labirinto de atirarem Portugal para perto da bancarrota.
138	P00327	P00326	137	Muito bem!
139	P00326	P00329	127	Isso, obviamente, é muito complicado, Sr.a Deputada!
140	P00001	P00326	139	Queira concluir, Sr. Deputado Adão Silva.
141	P00326	P00329	127	Se me permite, Sr.ª Presidente, direi que V. Ex.ª, Sr.a Deputada Sónia Fertuzinhos, negou todas as evidências de que o País já deu a volta.
142	P00327	P00326	141	Muito bem!
143	P00326	P00329	127	Mas a pergunta que lhe faço, Sr. Deputada, é a seguinte: para lá da escalpelização e do detalhe dos números, diga-nos alguma coisa sobre como ultrapassar este problema, que é um problema magno da vida pública portuguesa, que existia no vosso tempo de Governo, que VV. Ex.as acrescentaram quando puseram Portugal na situação de resgate e que, obviamente, todos nós queremos ultrapassar o mais rapidamente possível.
144	P00001	P00002		Sr.ª Deputada Sónia Fertuzinhos, tem a palavra para responder.
145	P00329	P00326	143	Sr.ª Presidente, Sr. Deputado Adão Silva, respondo a cada uma das suas questões. O Sr. Deputado diz que o Governo tem de governar para quem é mais carenciado. Ora, Sr. Deputado, os números do INE sobre a pobreza são a prova mais clara do falhanço total e absoluto do seu Governo.
146	P00583	P00329	145	Bem lembrado!
147	P00329	P00326	143	Todas as medidas que tomaram falharam, porque se assim não fosse os números não eram aqueles que são. O Sr. Deputado pergunta quais são as soluções do Partido Socialista. Sr. Deputado, não queira saber quais são as nossas propostas para o próximo Programa do Governo, quando o senhor tinha de saber as propostas que fizemos para o Orçamento do Estado para 2015 e que os Srs. Deputados chumbaram! O Partido Socialista, exatamente porque os dados da pobreza em 2012 já eram suficientemente preocupantes, propôs aumentar o abono de família, propôs repor os passes escolares, propôs aumentar o subsídio social de desemprego, fez um desafio ao Governo de desistir do corte de 100 milhões de euros de duas prestações não contributivas substitutivas do rendimento do trabalho. O que é que os Srs. Deputados fizeram? Chumbaram as nossas propostas e sobre os 100 milhões de euros nada disseram. Pode ser que o Sr. Ministro da Solidariedade, que ainda não teve a decência de se pronunciar sobre os dados da pobreza, possa vir aqui falar sobre o que vai fazer aos 100 mil milhões de cortes que estão previstos. O Sr. Deputado diz que as opções deste Governo foram limitadas por causa do Memorando de Entendimento. Sr. Deputado, a sua memória está fraca, mas eu vou reavivá-la. Foi o Sr. Primeiro-Ministro, o Primeiro-Ministro da coligação PSD/CDS-PP, que disse o seguinte — e passo a citar: «Significa, portanto, que executar este Memorando de Entendimento não resulta de uma espécie de obrigação pesada que se cumpre apenas para ter a noção de dever cumprido».
148	P00583	P00329	147	Bem lembrado!
149	P00329	P00326	143	E dizia mais: «É curioso que o programa eleitoral que nós apresentámos no ano passado e aquilo que é o nosso Programa do Governo não têm uma dessintonia muito grande com aquilo que veio a ser o Memorando de Entendimento celebrado entre Portugal, a União Europeia e o FMI». Portanto, Sr. Deputado, não só o PSD disse «venha o FMI que não temos nenhum problema em governar com a troica», como disse «estamos completamente identificados com o Memorando.
150	P00326	P00329	149	Zero propostas!
151	P00329	P00326	150	Mas o Sr. Deputado nada disse sobre o ir muito além da troica.
152	P00327	P00329	151	Zero soluções!
153	P00329	P00326	150	É que os senhores cortaram mais de 8000 milhões do que o que estava previsto e um dos resultados foi o de mais 500 000 portugueses pobres, Sr. Deputado. Sobre isto o Sr. Deputado nada disse.
154	P00001	P00002		Tem a palavra a Sr.ª Deputada Mariana Aiveca para pedir esclarecimentos.
155	P00274	P00329	153	Sr.ª Presidente, Sr.as e Srs. Deputados, Sr.ª Deputada Sónia Fertuzinhos, creio que trouxe aqui um problema de grande importância e que fez um retrato do País. Já lhe disseram a si, como disseram a este Parlamento, pela voz do Sr. Deputado Adão Silva, que o programa eleitoral do PSD não era o «programa das festas». De facto, não era, tinha o título «Está na hora de mudar» e o primeiro candidato desse programa prometia, se fosse Primeiro-Ministro, que não cortaria o subsídio de Natal, não cortaria os subsídios de férias, muito menos cortaria salários ou pensões. De facto, não foi um programa de festa, mas foi um programa bem negro, porque durante estes quatro anos os senhores cortaram em toda a linha no rendimento das famílias e, particularmente, nos rendimentos dos mais pobres. E têm hoje um País onde quase dois milhões de pessoas vivem com menos de 411 €. E destes dois milhões, mais de metade, ou seja, 975 000 pessoas, têm um rendimento inferior a 286 €.
156	P00579	P00274	155	Seja séria, Sr.ª Deputada!
157	P00274	P00329	153	Não era o programa das festas! Foi o programa que cortou todos os apoios sociais, dizendo até que os desempregados eram culpados da sua própria situação, dizendo até que havia uma certa preguiça por parte desses mesmos desempregados e, por isso, tinham que fazer trabalho à borla — que é o que fazem hoje os desempregados com contratos emprego-inserção e contratos emprego-inserção +. Têm hoje um País onde são as crianças quem mais sofre com a pobreza. Falam em medidas, mas creio que as medidas que foram aparecendo ao longo destes quatro anos foram todas elas chumbadas, porque, de facto, houve dinheiro para salvar a banca, continuaram com o regabofe das PPP, mas o dinheiro para prestações sociais foi trancado. Este foi, pois, um «programa das festas» muito mal contado.
158	P00001	P00274	157	Queira concluir, Sr.ª Deputada.
159	P00274	P00329	153	A pobreza é hoje a marca deste País. Perguntava-lhe, pois, Sr.ª Deputada Sónia Fertuzinhos, se não acha que o principal rosto destas políticas devia ter a decência de vir hoje ao Parlamento dar a cara por esse programa tão escuro, tão negro, do qual foi o principal executor.
160	P00001	P00002		Tem a palavra a Sr.ª Deputada Sónia Fertuzinhos para responder.
161	P00329	P00274	159	Sr.ª Presidente, Sr.ª Deputada Mariana Aiveca, de facto, tem toda a razão. A estratégia deste Governo falhou, porque fez várias coisas ao mesmo tempo que não podia ter feito: como disse, cortou os apoios sociais, o RSI e o CSI, fez diminuir os beneficiários do abono de família, cortou também nos rendimentos dos salários e das pensões, e tudo isto ao mesmo tempo que o desemprego aumentava. É óbvio que todas estas componentes juntas tinham que dar um resultado desastroso como é aquele que os dados da pobreza de 2013 refletem e que já refletiam em 2012, o que deviam ter levado o Governo a fazer orçamentos diferentes para 2014 e para 2015, mas como sabemos, para esses anos o Governo manteve a decisão e a opção política de continuar a cortar nos apoios sociais e, sobretudo, nos apoios sociais mais dirigidos ao combate à pobreza e ao apoio às famílias. Mas, Sr.ª Deputada Mariana Aiveca, se juntarmos a estes dados e a este cenário os dados da emigração, em que cerca de 400 000 portugueses e portuguesas emigraram, muitos deles os mais jovens e mais qualificados, e se juntarmos ainda um tema que o Governo e a maioria dizem ser muito caro, que é o da natalidade — sabemos que relativamente ao número de nascimentos entre 2011 e 2013 houve uma diminuição de 18% mas entre 1990 e 2010 o número de nascimentos tinha diminuído 13% (repare bem, Sr.ª Deputada, o drama que está nestes números) — , de facto, o País tem um problema grave para resolver, e esse problema só se resolve invertendo a política de austeridade tal como ela foi aplicada pelo Governo.
162	P00001	P00002		Tem a palavra o Sr. Deputado Jorge Machado para um pedido de esclarecimento.
163	P00267	P00329	161	Sr.ª Presidente, Srs. Deputados, Sr.ª Deputada Sónia Fertuzinhos, consideramos que o Governo PSD/CDS-PP é responsável por um gigantesco aumento da pobreza no nosso País — são 2,7 milhões de pobres e, se ancorarmos os dados da pobreza nos rendimentos de 2009, representam 25,9% da população. Entendemos mesmo que, hoje, o Ministro Mota Soares deveria estar neste Parlamento a discutir o que são os dados da pobreza. Feliz ou infelizmente — na nossa perspetiva, infelizmente — , o PSD agendou um debate de atualidade sobre licenciamento ambiental. Para nós, o debate de atualidade seria sobre os dados da pobreza e o agravamento da pobreza no nosso País. Esse é que era o debate de atualidade que se impunha! Mas fica marcado, então, para dia 12, o debate com o Sr. Ministro, como propôs o PCP. Sr.ª Deputada, temos uma dúvida relativamente aos dados que analisa. Efetivamente, o Governo do PSD/CDS-PP é responsável por um agravamento de mais 30% da pobreza; PSD e CDS-PP atiram para a pobreza 629 000 pessoas no período em que são Governo, mas se juntarmos os dados de 2010, do Governo do PS, então são mais 45%, são 808 000 pessoas que foram atiradas para a pobreza. A linha de pobreza ancorada no tempo era de 17,9% em 2009, em 2010 disparou para 19,6%, em 2011 chegou aos 21,3%, em 2012 atingiu os 24% e em 2013 alcançou os 25%. Há um aumento sistemático dos dados da pobreza. A pergunta que queríamos colocar é no sentido de saber se a Sr.ª Deputada entende, ou não, que os PEC e a troica que o PS foi mantendo com o PSD e com o CDS-PP são, ou não, responsáveis pelo agravamento da pobreza no nosso País.
164	P00262	P00267	163	Outra vez os PEC não!
165	P00267	P00329	161	O nosso entendimento é o de que esses PEC e o Memorando de Entendimento, o pacto que o PS assinou com o PSD e o CDS-PP e com a troica foram os responsáveis das linhas de fundo que atiraram milhares de portugueses para a pobreza. A Sr.ª Deputada diz, e é verdade, que a pobreza resulta de opções políticas. Vejamos: condição de recursos — Decreto-lei n.º 70/2010, que o PS criou e que agora está a ser usado pelo PSD e pelo CDS-PP para cortar em prestações sociais como nunca vimos no nosso País; os cortes no abono de família iniciados pelo PS; os cortes no subsídio de desemprego iniciados pelo PS e agora aproveitados pelo PSD e pelo CDSPP para continuar a cortar a quem está desempregado; a desproteção laboral e o ataque aos direitos de quem trabalha através de revisões ao Código do Trabalho promovidas por PS, PSD e CDS-PP; o corte nos salários e nas reformas. Sr.ª Deputada, o PS não diverge assim tanto do PSD. A Sr.ª Deputada diz que o PSD não diverge da troica, porque Passos Coelho assumiu uma posição em que o programa do PSD era semelhante ao programa da troica. Ora, o programa da troica era semelhante ao programa do PS, portanto PS, PSD e CDS-PP convergem na política de direita do nosso País. Esse é, ou não, um fator que contribui para o agravamento da pobreza do nosso País?
166	P00001	P00002		Para responder, tem a palavra a Sr.ª Deputada Sónia Fertuzinhos.
167	P00329	P00267	165	Sr.ª Presidente, Sr. Deputado Jorge Machado, de facto, seria normal que o Sr. Ministro Mota Soares, se existisse enquanto Ministro da Solidariedade — já houve vários momentos em que provou que não existia, este é apenas mais um — , já se tivesse pronunciado, porque estes dados foram divulgados na sexta-feira e até hoje ainda não se fez ouvir. Mas, Sr. Deputado, mais do que o Sr. Ministro Mota Soares, teria de ser o Sr. Primeiro-Ministro a vir a esta Assembleia, até por iniciativa própria, responder por esses dados da pobreza e dizer, enquanto primeiro responsável pelo Governo, o que é que entende que deve alterar nas suas políticas para que estes dados não continuem a agravar-se. O Sr. Deputado, no seu pedido de esclarecimento, tentou ligar as políticas do PS ao PSD e ao CDS-PP e às políticas da direita, e falou de um pacto. Sr. Deputado, o maior pacto a que já se assistiu nesta Assembleia foi o pacto entre o Partido Comunista, o PSD e o CDS-PP»
168	P00010	P00329	167	Oh!»
169	P00329	P00267	165	»para chumbarem o PEC 4, que abriu caminho á troica. Portanto, Sr. Deputado, que o PCP também saiba assumir as suas responsabilidades.
170	P00351	P00329	169	Traíram os pobres!
171	P00329	P00267	165	Mas se o Sr. Deputado e o PCP consideram que o PS — que criou o rendimento social de inserção, que criou o complemento solidário para idosos, que apostou no ensino préescolar, que apostou na escola a tempo inteiro, que apostou nos passes escolares — , com as suas políticas, com tudo isto que referi, é parecido com o PSD e o CDS, então, não sei o que é que o PCP consideraria ser diferente. Julgo que, mais do que isto, a sua intervenção não merece nenhum comentário da minha parte.
172	P00001	P00002		Para pedir esclarecimentos, tem a palavra o Sr. Deputado Artur Rêgo.
173	P00579	P00329	171	Sr.ª Presidente, Sr.ª Deputada Sónia Fertuzinhos, a pobreza é uma preocupação constante para nós, assim como deve ser para todos os portugueses. Também o é para o Governo, tal como o desemprego. Ora, ao combater-se o desemprego está a combater-se também a pobreza, Sr.ª Deputada. Sr.ª Deputada, para recentrar o debate, de forma séria, no cerne da questão, quero dizer-lhe que os dados do INE referidos dizem respeito a 2013. Ora, como todos sabemos, no primeiro trimestre de 2013 foi atingido o pico do desemprego neste País. Este desemprego foi uma consequência da crise, foi uma consequência da falência do País, foi uma consequência do primeiro tratamento de choque que resultou da aplicação das medidas do Memorando.
174	P00351	P00579	173	Isso foi em 2012!
175	P00579	P00329	171	Felizmente, de 2013 até hoje já mediou o ano de 2014 e já tivemos oito trimestres consecutivos de crescimento da economia, de crescimento do emprego e de descida da taxa de desemprego. Os protestos são sinal de que estão a sentir-se incomodados com a minha intervenção! Portanto, tivemos o crescimento da economia, o crescimento do emprego e a diminuição da taxa de desemprego.
176	P00583	P00579	175	E mais pobreza!
177	P00579	P00329	171	Sr.ª Deputada, seriamente, face a isto tudo, e quando se criaram mais de 130 000 postos de trabalho líquidos desde essa altura até agora, segundo as estatísticas do INE, não é compaginável dizer-se que relativamente a 2014 — é a nossa expetativa e a nossa confiança — se manterão os dados constantes da estatística do INE relativos a 2013. Sr.ª Deputada, não obstante, tendo essa preocupação em mente e noção dessa realidade, este Governo, desde o primeiro ano — de resto, basta ler os Orçamentos do Estado — , aumentou sempre o valor das transferências para prestações sociais. Aumentou sempre!
178	P00274	P00579	177	Essa agora!
179	P00579	P00329	171	Portanto, é falso que tenha cortado esses valores, porque aumento-os sempre. Sr.ª Deputada, os dados do INE relatam a situação em que, por força do que se passou, ficaram muitos portugueses em 2013 e a diminuição dos rendimentos médios, mas não refere, como é evidente, algo que resultou da preocupação do Governo: a criação de uma rede local com transferências económicas de milhares de milhões de euros do Governo para as instituições de solidariedade social, precisamente para acudir a essas pessoas que estavam em estado de necessidade. Isso não vem lá relatado, Sr.ª Deputada! Portanto, ninguém ficou para trás, as pessoas de menores recursos tiveram apoio no terreno através dos programas que o Governo criou em colaboração com as instituições particulares de solidariedade social (IPSS). Dito isto, gostaria de me reportar ao que foi dito Sr. Deputado Adão Silva, quando referiu que este Memorando não é um programa de festas. Pois não é, Sr.ª Deputada, concordo plenamente, mas é um programa que resulta das festas do Partido Socialista.
180	P00509	P00579	179	Muito bem!
181	P00579	P00329	171	Resulta da festa que para o Partido Socialista foi a sua governação, Sr.ª Deputada. E essa festa teve o seu culminar de esbanjamento em 2009, em período pré-eleitoral, sem bem se lembra, quando, com o País já falido, aumentou os vencimentos em 3,5% e diminuiu o IVA.
182	P00001	P00579	181	Sr. Deputado, queria concluir.
183	P00579	P00329	171	Concluo já, Sr.ª Presidente. E o que é que resultou em 2010? Deixo-lhe esta pergunta para concluir.
184	P00001	P00579	183	É mesmo para concluir, Sr. Deputado, por favor.
185	P00579	P00329	171	Vou mesmo concluir, Sr.ª Presidente.
186	P00001	P00579	185	Sr. Deputado, tem mesmo de concluir.
187	P00579	P00329	171	Concluo já, Sr.ª Presidente. Sr.ª Deputada, estas são as verdadeiras questões. Quem é que cortou? Foi o PS ou fomos nós? Quem é que esbanjou? Foi o PS ou fomos nós?
188	P00267	P00579	187	Foram os dois!
